City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bam,IR,83.52,clear sky,29.106,58.357,Bam Tourist Hotel
2,Kapaa,US,82.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Caravelas,BR,71.31,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
5,Tefe,BR,86.11,broken clouds,-3.3542,-64.7114,Aracati Hotel
6,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
16,Castanas,PH,77.18,overcast clouds,13.8822,121.5517,The Ponce Farm
25,Bonthe,SL,77.59,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
27,Itarema,BR,78.4,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
28,Yellowknife,CA,72.12,few clouds,62.456,-114.3525,The Explorer Hotel
29,Carutapera,BR,77.85,broken clouds,-1.195,-46.02,Lidera
30,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
31,Ribeira Grande,PT,76.82,clear sky,38.5167,-28.7,Quinta da Meia Eira
32,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
33,Sao Filipe,CV,76.33,light rain,14.8961,-24.4956,Hotel Xaguate
36,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
38,Puerto Escondido,MX,84.34,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
39,Fortuna,US,74.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
41,Sampit,ID,71.85,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
44,Awjilah,LY,80.55,clear sky,29.1081,21.2869,المنزل
49,Samarai,PG,79.11,broken clouds,-10.6167,150.6667,Nuli Sapi
51,Jardim,BR,75.06,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
52,Faanui,PF,78.06,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
57,Sola,VU,77.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
58,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Key West,US,89.6,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
65,Paragould,US,86.86,few clouds,36.0584,-90.4973,Linwood Motel
67,Mulatupo,PA,83.32,scattered clouds,8.9492,-77.7652,Playa Dil
71,Thompson,CA,71.76,clear sky,55.7435,-97.8558,Burntwood Hotel
72,La Macarena,CO,78.44,overcast clouds,2.1837,-73.7849,Casa Hotel Real
74,Halifax,CA,76.89,broken clouds,44.6453,-63.5724,Hotel Halifax
75,Mayo,US,85.1,clear sky,38.8876,-76.5119,Resorts Resource Group International
78,Hasaki,JP,81.0,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
79,Owando,CG,81.75,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
82,El Sauce,NI,85.86,overcast clouds,12.8869,-86.539,Hotel Blanco
85,Dhidhdhoo,MV,81.48,broken clouds,6.8833,73.1,Dhidhoo beach
86,Bin Qirdan,TN,86.38,clear sky,33.1378,11.2197,Hôtel Palace
87,Xuanhua,CN,72.21,light rain,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
89,Pop,UZ,73.89,clear sky,40.8736,71.1089,Ramz Hotel Pap
