City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bam,IR,29.106,58.357,83.52,14,3,7.0,clear sky
1,Busselton,AU,-33.65,115.3333,53.74,67,42,5.32,scattered clouds
2,Kapaa,US,22.0752,-159.319,82.47,68,40,12.66,scattered clouds
3,Bluff,NZ,-46.6,168.3333,44.8,75,11,20.45,few clouds
4,Caravelas,BR,-17.7125,-39.2481,71.31,61,100,7.7,overcast clouds
5,Tefe,BR,-3.3542,-64.7114,86.11,70,75,5.75,broken clouds
6,Vaini,TO,-21.2,-175.2,71.76,78,75,10.36,broken clouds
7,Hermanus,ZA,-34.4187,19.2345,52.81,71,41,23.73,light rain
8,Amazar,RU,53.858,120.875,54.84,93,11,0.81,few clouds
9,Mosquera,CO,4.7059,-74.2302,60.89,77,40,10.36,scattered clouds
10,Carnarvon,AU,-24.8667,113.6333,62.64,76,0,10.09,clear sky
11,Esperance,AU,-33.8667,121.9,56.25,79,70,20.54,light rain
12,Manaquiri,BR,-3.3167,-60.35,88.29,61,66,1.28,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,54.09,85,21,6.58,few clouds
14,Yarim,YE,14.298,44.3779,59.43,69,100,0.6,overcast clouds
15,Tahe,CN,52.3333,124.7333,55.31,95,5,2.71,clear sky
16,Castanas,PH,13.8822,121.5517,77.18,89,100,4.7,overcast clouds
17,Mataura,NZ,-46.1927,168.8643,44.47,87,6,2.86,clear sky
18,Provideniya,RU,64.3833,-173.3,44.83,70,99,3.8,overcast clouds
19,Qaqortoq,GL,60.7167,-46.0333,45.59,99,100,3.67,light rain
20,Ushuaia,AR,-54.8,-68.3,38.86,45,0,13.8,clear sky
21,Bredasdorp,ZA,-34.5322,20.0403,47.98,81,75,14.97,broken clouds
22,Ilulissat,GL,69.2167,-51.1,44.19,65,100,1.54,overcast clouds
23,Crib Point,AU,-38.35,145.2,50.04,90,100,21.45,light rain
24,Nikolskoye,RU,59.7035,30.7861,62.8,69,97,3.6,overcast clouds
25,Bonthe,SL,7.5264,-12.505,77.59,81,85,8.84,overcast clouds
26,Richards Bay,ZA,-28.783,32.0377,67.95,80,100,2.62,overcast clouds
27,Itarema,BR,-2.9248,-39.9167,78.4,75,92,18.01,overcast clouds
28,Yellowknife,CA,62.456,-114.3525,72.12,43,20,11.5,few clouds
29,Carutapera,BR,-1.195,-46.02,77.85,82,60,7.92,broken clouds
30,San Andres,CO,12.5847,-81.7006,86.02,74,40,8.05,scattered clouds
31,Ribeira Grande,PT,38.5167,-28.7,76.82,85,8,7.87,clear sky
32,Avarua,CK,-21.2078,-159.775,75.25,83,75,4.61,broken clouds
33,Sao Filipe,CV,14.8961,-24.4956,76.33,82,98,11.16,light rain
34,Gorom-Gorom,BF,14.4439,-0.2361,92.7,42,53,8.97,broken clouds
35,Port Hedland,AU,-20.3167,118.5667,64.45,72,19,6.91,few clouds
36,Ponta Do Sol,PT,32.6667,-17.1,74.03,82,75,3.65,broken clouds
37,Lalin,ES,42.7167,-8.1167,60.85,96,7,1.28,clear sky
38,Puerto Escondido,MX,15.85,-97.0667,84.34,71,99,4.47,overcast clouds
39,Fortuna,US,40.5982,-124.1573,74.93,66,0,16.11,clear sky
40,Ambilobe,MG,-13.2,49.05,66.42,72,0,6.26,clear sky
41,Sampit,ID,-2.5333,112.95,71.85,98,99,2.53,light rain
42,Saint-Francois,FR,46.4154,3.9054,67.68,45,0,2.3,clear sky
43,Nanortalik,GL,60.1432,-45.2371,44.02,99,100,6.44,overcast clouds
44,Awjilah,LY,29.1081,21.2869,80.55,61,0,13.89,clear sky
45,Lebu,CL,-37.6167,-73.65,49.24,92,100,13.53,overcast clouds
46,Orlik,RU,52.5178,99.825,48.69,89,85,1.39,overcast clouds
47,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,11.5,clear sky
48,Ulagan,RU,50.6321,87.9563,51.57,92,94,1.66,overcast clouds
49,Samarai,PG,-10.6167,150.6667,79.11,85,83,4.59,broken clouds
50,Barrow,US,71.2906,-156.7887,33.82,93,100,9.22,overcast clouds
51,Jardim,BR,-21.4803,-56.1381,75.06,40,0,4.54,clear sky
52,Faanui,PF,-16.4833,-151.75,78.06,76,52,12.01,broken clouds
53,Nome,US,64.5011,-165.4064,51.87,76,100,10.36,overcast clouds
54,Taltal,CL,-25.4,-70.4833,59.36,77,58,7.07,broken clouds
55,Yar-Sale,RU,66.8333,70.8333,50.95,79,100,11.61,overcast clouds
56,Saint-Philippe,RE,-21.3585,55.7679,65.79,72,52,13.6,broken clouds
57,Sola,VU,-13.8833,167.55,77.67,89,75,0.0,broken clouds
58,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,99,10.0,overcast clouds
59,Cape Town,ZA,-33.9258,18.4232,53.89,78,75,5.99,broken clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,77,75,9.22,broken clouds
