City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sorland,NO,2022-08-07 21:26:45,67.667,12.6934,52.74,83,81,8.9
1,Thompson,CA,2022-08-07 21:27:19,55.7435,-97.8558,77.16,38,75,17.27
2,Erenhot,CN,2022-08-07 21:27:19,43.6475,111.9767,66.7,53,67,8.63
3,Husavik,IS,2022-08-07 21:22:50,66.0449,-17.3389,54.03,92,100,3.18
4,Brigham City,US,2022-08-07 21:27:20,41.5102,-112.0155,85.6,31,0,5.01
5,Port Lincoln,AU,2022-08-07 21:27:20,-34.7333,135.8667,47.64,76,1,7.14
6,Nikolskoye,RU,2022-08-07 21:27:19,59.7035,30.7861,58.89,79,11,3.65
7,Marquette,US,2022-08-07 21:33:47,46.5333,-87.6335,62.82,71,29,7.34
8,Port Alfred,ZA,2022-08-07 21:27:21,-33.5906,26.891,62.19,97,100,5.01
9,Georgetown,MY,2022-08-07 21:24:56,5.4112,100.3354,81.9,93,20,3.44
10,Bluff,NZ,2022-08-07 21:27:21,-46.6,168.3333,34.81,64,45,19.35
11,Punta Arenas,CL,2022-08-07 21:24:48,-53.15,-70.9167,39.31,75,20,10.36
12,Rikitea,PF,2022-08-07 21:23:36,-23.1203,-134.9692,72.48,67,100,32.46
13,Barrow,US,2022-08-07 21:26:13,71.2906,-156.7887,44.62,70,100,5.75
14,Punta De Bombon,PE,2022-08-07 21:27:22,-17.1717,-71.7931,61.39,76,29,8.88
15,Kamaishi,JP,2022-08-07 21:27:22,39.2667,141.8833,75.31,90,97,6.82
16,Belmonte,BR,2022-08-07 21:27:23,-15.8631,-38.8828,73.22,74,19,8.01
17,Albany,US,2022-08-07 21:26:45,42.6001,-73.9662,90.64,67,68,8.39
18,Saint-Philippe,RE,2022-08-07 21:27:23,-21.3585,55.7679,67.59,81,21,4.43
19,Iquitos,PE,2022-08-07 21:27:23,-3.7481,-73.2472,91.44,55,75,2.3
20,Mataura,NZ,2022-08-07 21:27:24,-46.1927,168.8643,34.48,85,10,6.38
21,Dubbo,AU,2022-08-07 21:27:24,-32.25,148.6167,35.73,93,100,4.61
22,Nyurba,RU,2022-08-07 21:26:59,63.2842,118.3319,47.82,93,80,3.13
23,Dingle,PH,2022-08-07 21:27:25,10.9995,122.6711,73.92,92,100,3.89
24,Westport,US,2022-08-07 21:27:25,41.1415,-73.3579,92.12,62,0,14.97
25,Cape Town,ZA,2022-08-07 21:25:24,-33.9258,18.4232,58.12,87,75,10.36
26,Kingsville,US,2022-08-07 21:24:01,27.5159,-97.8561,96.76,50,75,18.41
27,Hermanus,ZA,2022-08-07 21:27:26,-34.4187,19.2345,49.8,84,71,2.82
28,Hithadhoo,MV,2022-08-07 21:27:26,-0.6,73.0833,81.82,70,100,4.43
29,Goma,CD,2022-08-07 21:27:27,-1.6792,29.2228,63.95,73,16,1.14
30,Novomykolayivka,UA,2022-08-07 21:27:27,47.9781,35.9102,71.74,45,24,8.72
31,Coquimbo,CL,2022-08-07 21:24:26,-29.9533,-71.3436,60.53,63,0,11.5
32,Hilo,US,2022-08-07 21:22:37,19.7297,-155.09,89.28,71,100,7.0
33,Fort Nelson,CA,2022-08-07 21:27:28,58.8053,-122.7002,72.99,38,75,6.91
34,Ushuaia,AR,2022-08-07 21:26:41,-54.8,-68.3,38.86,60,0,4.61
35,Tiznit,MA,2022-08-07 21:27:28,29.5833,-9.5,79.56,28,0,2.77
36,Plettenberg Bay,ZA,2022-08-07 21:26:57,-34.0527,23.3716,58.06,83,25,9.73
37,Torbay,CA,2022-08-07 21:27:29,47.6666,-52.7314,76.39,78,75,20.71
38,New Norfolk,AU,2022-08-07 21:27:29,-42.7826,147.0587,34.72,87,13,2.59
39,Rabaul,PG,2022-08-07 21:27:29,-4.1967,152.1721,78.49,78,66,6.51
40,Chake Chake,TZ,2022-08-07 21:27:30,-5.2459,39.7666,72.77,77,66,11.41
